Epochs,Activation function,Hidden nodes,Optimizer,Initializer,Regularizer,In-sample RMSE,Out-of-sample RMSE,Out-of-sample Accuracy
200,relu,11,Adam,Xavier,0,0.04341459646821022,2127.9011798081856,0.8947368421052632
200,sigmoid,11,Adam,Xavier,0.001,0.049066971987485886,2132.151174151628,0.8526315789473684
100,relu,8,Momentum,small_random,0,0.08666997402906418,2132.7533844423174,0.8210526315789474
300,sigmoid,5,Adam,small_random,0.001,0.05032108724117279,2144.788676896571,0.8631578947368421
300,relu,11,Momentum,Xavier,0.0001,0.04544564336538315,2146.052846500811,0.7894736842105263
100,tanh,11,Adam,Xavier,0.001,0.045794300734996796,2153.367247697782,0.8526315789473684
200,tanh,8,Momentum,Xavier,0.0001,0.04517647996544838,2167.587589337845,0.8631578947368421
300,tanh,11,Momentum,Xavier,0.0001,0.04175024852156639,2168.4080432975165,0.8736842105263158
200,tanh,11,Momentum,Xavier,0.001,0.04354491084814072,2168.527918156768,0.7789473684210526
200,relu,5,Momentum,small_random,0.0001,0.06761340796947479,2180.8650707038623,0.8315789473684211
300,relu,8,Momentum,Xavier,0.0001,0.048160944133996964,2192.5718759972347,0.8736842105263158
300,sigmoid,11,Momentum,Xavier,0,0.05172218009829521,2200.175740448878,0.8421052631578947
100,tanh,11,Momentum,Xavier,0.0001,0.045028090476989746,2200.756429997271,0.8105263157894737
200,relu,8,Adam,Xavier,0.001,0.042705945670604706,2202.9537970109363,0.7789473684210526
200,relu,5,Momentum,Xavier,0,0.04416980594396591,2203.077400625555,0.8631578947368421
300,relu,5,SGD,Xavier,0.001,0.0551300086081028,2206.079870377896,0.8421052631578947
300,tanh,8,Adam,small_random,0.001,0.04531943053007126,2207.3575795355023,0.7684210526315789
200,sigmoid,5,Momentum,Xavier,0.001,0.05769873782992363,2225.9097061521893,0.8210526315789474
300,sigmoid,11,SGD,Xavier,0,0.07205028086900711,2230.1318373796926,0.8631578947368421
200,relu,8,Adam,Xavier,0,0.05464090034365654,2232.5247656609854,0.8315789473684211
300,sigmoid,8,Adam,small_random,0,0.04181881621479988,2232.820551646974,0.9052631578947369
300,relu,11,Adam,Xavier,0,0.04021226614713669,2238.4269555823835,0.8842105263157894
300,sigmoid,11,SGD,Xavier,0.0001,0.06887684017419815,2239.0626751887007,0.8842105263157894
200,relu,5,Adam,Xavier,0,0.05330333858728409,2267.87479735875,0.8105263157894737
300,sigmoid,11,Momentum,small_random,0,0.062227509915828705,2269.219497649321,0.8
300,sigmoid,5,Adam,Xavier,0.001,0.05399062857031822,2294.8477882967545,0.8421052631578947
300,tanh,11,SGD,Xavier,0,0.06281881779432297,2296.863447183877,0.8315789473684211
300,sigmoid,5,Momentum,Xavier,0.0001,0.05561499297618866,2301.357446007653,0.8526315789473684
100,sigmoid,11,Momentum,Xavier,0.0001,0.0634554997086525,2302.0496067322892,0.8631578947368421
300,relu,5,Adam,Xavier,0.001,0.04963845759630203,2302.670961224079,0.8421052631578947
300,sigmoid,8,Adam,Xavier,0.001,0.05418192222714424,2307.2753172532284,0.8210526315789474
300,tanh,5,Adam,Xavier,0.001,0.045876942574977875,2314.6202568800795,0.7894736842105263
100,relu,5,Momentum,small_random,0,0.12234106659889221,2315.2805680251618,0.8526315789473684
300,tanh,5,Momentum,Xavier,0.001,0.04377467930316925,2338.590646528194,0.7473684210526316
100,sigmoid,11,Momentum,small_random,0,0.061995986849069595,2344.4377787722883,0.7789473684210526
300,tanh,5,Momentum,Xavier,0,0.04326055198907852,2354.902636006749,0.7894736842105263
300,relu,5,Adam,Xavier,0.0001,0.047297410666942596,2376.186327261587,0.7684210526315789
300,sigmoid,8,Adam,small_random,0.001,0.05193866789340973,2383.529878104985,0.8105263157894737
100,relu,8,Adam,Xavier,0,0.05754432454705238,2399.6355845440125,0.8631578947368421
300,relu,11,SGD,Xavier,0.001,0.059474095702171326,2402.053823161273,0.8526315789473684
100,sigmoid,11,Adam,Xavier,0.0001,0.050375960767269135,2402.6422133470314,0.8105263157894737
200,sigmoid,8,Adam,Xavier,0.001,0.053267668932676315,2405.0588266675904,0.8105263157894737
300,sigmoid,8,Momentum,Xavier,0.001,0.05143735930323601,2408.2662950660133,0.8210526315789474
300,relu,8,Adam,Xavier,0.0001,0.04241292551159859,2410.183287506693,0.7157894736842105
200,sigmoid,5,Momentum,small_random,0.001,0.07064134627580643,2419.626957688368,0.7368421052631579
200,sigmoid,5,Adam,small_random,0.0001,0.05880939960479736,2433.376876571569,0.7789473684210526
300,sigmoid,5,Adam,Xavier,0,0.047393444925546646,2433.514903885527,0.8315789473684211
200,relu,11,Momentum,Xavier,0,0.04591524973511696,2444.49487272872,0.8526315789473684
200,tanh,5,Momentum,Xavier,0.0001,0.0457579642534256,2458.1427944527645,0.8
200,tanh,8,Adam,small_random,0.001,0.04804801568388939,2465.770574358613,0.7789473684210526
100,sigmoid,11,Adam,Xavier,0,0.05726958438754082,2469.987278429088,0.8
100,relu,5,Momentum,Xavier,0,0.05541672930121422,2477.557742106702,0.8315789473684211
100,relu,11,Momentum,Xavier,0.0001,0.05262140557169914,2488.2887998537235,0.8526315789473684
100,relu,5,SGD,Xavier,0,0.09555228054523468,2489.89265116989,0.6842105263157895
200,sigmoid,8,Momentum,small_random,0.001,0.05962888523936272,2492.8019073775445,0.8210526315789474
300,relu,8,Momentum,Xavier,0.001,0.04659616947174072,2502.050316810172,0.8105263157894737
200,tanh,5,Adam,Xavier,0,0.04241786152124405,2502.3524805162624,0.8105263157894737
200,relu,8,SGD_with_cosine,Xavier,0.0001,0.14744576811790466,2520.273732850529,0.7894736842105263
300,tanh,8,Adam,Xavier,0.0001,0.040901001542806625,2520.823974762299,0.7684210526315789
100,sigmoid,11,Momentum,Xavier,0.001,0.05737445130944252,2525.119506566039,0.8
100,tanh,8,Adam,Xavier,0.001,0.06196850165724754,2527.9194379051,0.7894736842105263
200,tanh,5,Momentum,Xavier,0,0.0573553740978241,2544.3636516742467,0.8105263157894737
200,tanh,11,Adam,Xavier,0.001,0.05257843807339668,2550.3278048860125,0.7473684210526316
100,tanh,8,SGD,Xavier,0.0001,0.062233518809080124,2559.7675026013244,0.7578947368421053
100,sigmoid,5,Adam,Xavier,0.0001,0.04848611354827881,2561.152783790972,0.8
200,sigmoid,5,SGD,small_random,0.0001,0.09239364415407181,2572.195527197545,0.7578947368421053
200,tanh,8,Adam,Xavier,0.001,0.045728232711553574,2577.366097414465,0.7157894736842105
200,sigmoid,11,Momentum,Xavier,0,0.05380222946405411,2578.9452836197356,0.8315789473684211
